reviews,sentiment_value,word_count,sentiment
super light efficient laptop super light efficient laptop crisp clean screen easier handle fast execution apps program,8,17,2
new laptop great far loving new look feel new laptop,6,10,2
lightweight powerhouse great build quality excellent screen good port option keyboard quality comfortable type trackpad feel responsive accurate weight laptop outstanding perfect daily work commute,21,25,2
great laptop work excellent laptop work processor able handle workload better current laptop,6,13,2
practical solid laptop far good like hdmi usb c port instead usb c port power adapter lighter expecting laptop good size weight screen image look sharp using work travel think work great,13,32,2
good choice light weight like touch keyboard,5,7,2
like laptop really like laptop light fast,4,7,2
great portable laptop excellent around package great size nice design well built staff happy new device,15,16,2
feel like quality fast feel like quality construction phenomenal aluminum mouse amazing unit fast speced unit gb ram tb ssd also g data convenient fast hdmi usb c conventional usbs convenient,8,31,2
best laptop upgraded latitude year old loved light weight speed ergonamics laptop,6,12,2
amazing laptop laptop amazing lightweight powerful easy carry around feel sturdy touchpad keyboard responsive highly recommended,15,16,2
performance quality dell latitude xcto strong contender business laptop category offering great blend performance display quality design solid investment professional seeking reliable high performing laptop,6,25,2
latitude laptop excellent quality expected,3,5,2
nice light yet powerful everything need run business pc nice video quality time saving feature also discreet built physical slide camera blocker finger print feature secure fast,12,27,2
really impressed performance functionality laptop work great even heavy workload high performance light weight built productivity,6,16,2
great business laptop delivers sleek laptop beautiful dark gray silver finish run superfast got configured gb ram camera quality good much better laptop year ago exceptional excellent sound quality four speaker setup bit heavy tablet mode depends laptop chassis pick worthwhile upgrade coming anything,11,44,2
latitude laptop love unit lightweight functional,3,6,2
performance overall quality dell latitude high performing laptop fast boot time durable yet lightweight design laptop build quality battery life screen resolution keyboard comfort exceptional excellent investment anyone value performance speed mobility,5,32,2
new lightweight portable good battery experience take little getting used new track pad helped adjust sensitivity reduced sensitivity prevent random click apps matlab installed work faster previous older latitude model screen real estate bit tighter use pinch track pad zoom helpful,4,41,2
latitude btx awesome pleasant smooth work machine really value money,7,10,2
great great performance excellent display,9,5,2
dell best value dollar,3,4,2
dell lat laptop n setup easy window setup memory gb expandable video graphic decent however clear bright model device usb port type c hdmi camera shutter built camera light device compared dell,3,32,2
great laptop price great laptop price,6,6,2
excellent balance form function excellent balance form function use business mobility device give desktop performance key delivering service client properly configured laptop able perform task client demand outside complex engineering design thousnads layer compile prefermed excellent chassis durable sleek screen beautiful would recommend anyone,13,44,2
ul light powerful like everything laptop especially light weight user happy well keyboard bit larger screen plan keeping production year,7,20,2
light weight latitude laptop light weight snazzy looking sale person travel customer keyboard feel flow pretty nicely sometimes hit power button pinky meaning hit delete key next delete key get annoyance get used yet using week far cannot complain happy,0,40,1
fast processing great graphic compact size good touch tablet capability rip graphic outstanding dell made software installation setup breeze,11,19,2
greate greate business laptop feature required,0,6,1
new device company use working explained rep,0,7,1
great work computer fast computer comfortable keyboard mouse pad screen colorful vibrant easy connection larger external monitor,9,17,2
dell latitude btx excellent option dell latitude btx sleek fast battery last forever far happy,6,15,2
service smile outstanding service selection set,7,6,2
excellent machine excellent pc demanding user machine job,5,8,2
easy use easy use touchscreen used,2,6,2
great work computer sale searched laptop memory space growing business selected modle working great running two screen issue thank dell,8,20,2
well build laptop would recommend good update current inch range,5,10,2
perfect computer small business owner absolutely love new computer run many program seamlessly phenomenal battery life great small business owner,9,20,2
quality laptop powerful work great work battery limiter work set plugged time build quality good felt frame flex key good tactile feel thunderbolt port work great hub monitor,14,28,2
modern executive mobile work tool magnesium version slim light fully functional qhd touch screen excellent mp webcam provides great image meeting,6,21,2
felix easy setup become productive,1,5,2
light lightest laptop utilized appreciated traveling,2,6,2
,0,0,1
great pc manager laptop great executive looking lightweight fast device screen large enough crisp bright display able maintain multiple application open time focusing meeting apps like team lot mail processing good speed keyboard nice feel click key close enough edge ergonomic feel easy setup get right work super light easy carry around go,20,53,2
light weight great keyboard work dell office transition dell home difficult crazy pop message time remove really like keyboard tonight find docking station working dell told manager dell computer work name brand docking station see,2,35,2
latitude review great laptop performance top notch,5,7,2
best option good laptop performance good,9,6,2
good laptop work well big difference dimension long square,4,9,2
brief experience recent latitude btx satisfied recent purchase dell latitude btx keyboard tactile responsive touch dell inspiron still serf u well latitude show improvement current technology date experienced problem operation computer,2,31,2
light touch capable purchased light machine easy daily transport also touch screen machine normally go high end nice find one category nevertheless capable,6,23,2
dell amazing brilliance dell unleashing productivity style first day laid hand dell knew winner lightweight wickedly fast remarkably quiet machine become daily companion seamlessly blending work leisure performance prowess put dell pace various day day task business standpoint personal enjoyment running multiple program increase cpu load became sort personal challenge guess laptop emerged victorious every single time matter threw never skipped beat audio bliss fingertip strategically placed audio speaker edge keyboard genius touch produce sound create immersive audio experience add certain richness virtual meeting elevates music video streaming session visual delight screen feast eye bright vibrant clear whether crunching number work catching latest show display quality consistently impressive kind visual experience turn mundane task enjoyable moment hood brilliance let talk spec dell boast intel th gen vpro u processor gb ram spacious gb hd connectivity breeze x hdmi x usb c port x usb port larger trackpad small detail make big difference especially navigating hectic workday pitching upgrade singing praise laptop benefit genuinely considering pushing upgrade across executive board dell brings functionality touch sophistication aligns perfectly professional environment kind upgrade enhance individual productivity overall work experience final verdict must professional conclusion dell laptop productivity powerhouse fit seamlessly work personal life wholeheartedly recommend machine anyone looking perfect blend style performance time set new standard starting workspace,42,215,2
promised good far delivery communication timing packaging completeness great exactly promised lt ready go win soon pulled know company sending win making customer upgrade impression lt far great performance love light,22,31,2
really liking new latitude suprisingly fast touchscreen responsive better older model,4,11,2
great business personal use work well difficulty,3,7,2
latitude light powerful screen look bright sharp,3,7,2
latitude great choice powerful laptop easy setting installation great performance,9,10,2
solid build good performance overall build laptop feel solid like feel flimsy keyboard mouse pad responsive pleasant use far laptop keyboard mouse go far performance good processor definitely machine running smoothly time tell get pile window update though adequate amount port compared new device thunderbolt one charging hdmi usb overall like design use latitude far also quiet normal use really tested resource hungry application yet hoping continue run like give year enjoyable use,24,73,2
great thin light powerhouse discerning business user new get laptop ultralight configuration including mp webcam user love caveat fingerprint reader ultralight using xps exec team wanted something thin light using surface laptop year keyboard excellent configurability great repairability look great opening one best hdmi usb port,19,46,2
support tech laptop best performer used laptop long time perfect long flight hour battery usage fast easy travel given size weight leave home without,8,24,2
beautifullly functional simplistically elegant power house productivity housed cutting edge design,1,11,2
small powerful fast little performer lightweight compact travel friendly feel great quality item,7,13,2
dell lightweight compact respectable performance feature,0,6,1
slick little laptop small compact laptop solid feel drawback nic port onboard fix find need plug otherwise look like stand heavy daily use,6,23,2
pleasant online purchasing experience buying dell laptop website well laid easy compare various model laptop,4,15,2
far good second time buying model first time problem blue screen hopefully one ok,3,14,2
great laptop great computer clear video good screen nice keyboard fast proc,13,12,2
awesome laptop laptop everything looking tech guy set work also personal use fast reliable easy carry work home great laptop,8,20,2
sleek light weight nice finishing,3,5,2
lightweight champion fantastic laptop nice light super powerful price,12,9,2
overall use dell latitude dell work well home office use monday friday day long connects wireless wired fine dependable crash keep date window dell update depend everyday get work done,0,30,1
latitude laptop light weight easy travel touch screen plus issue power button look like uneven button hard push,2,18,2
excellent size excellent size fast speed love laptop,9,8,2
best computer gorgeous graphic color speed,3,6,2
nice laptop unit seems super smooth operates control touch screen reflective see ceiling light reflected bad used matte screen either,3,20,2
good build value money good build value money,6,8,2
great pc great light weight laptop really enjoyed using,8,9,2
delivers delivers quick setup great feature great performance staff hybrid attendance model easily switch home offsite appts onsite work meeting easy onboard audio video great product,10,26,2
excellent laptop fast light compact,3,5,2
latitude best latitude replaced old outdated generic pc impressed speed capability latitude,6,12,2
versatile light latitude laptop right choice laptop one versatile laptop ever used light great battery life quick mention screen crystal clear good job dell,7,24,2
great medium high end device larger deployment laptop fit excellent power versatility surprisingly portable form factor,7,16,2
happy quick resolution happy quick resolution,6,6,2
snappy little power house perfect size travel office dock love larger trackpad key feel good good number port usb c usb color different also like laptop quick get hot,14,29,2
solid computer outstanding fulfillment great workhorse laptop order filled extremely quickly delivered ahead schedule,10,14,2
btx happy dell product third purchase setup latitude breeze graph amazing would recommend dell product family friend,9,17,2
nice sleek design responsive key mouse control,5,7,2
small issue keyboard excellent otherwise complaint would keyboard feel bit clumsy middle feel well supported device excellent,8,17,2
nice solid laptop laptop look solid nice slightly heavy,10,9,2
best version model great traveler laptop world hybrid work device right balance mobile battery lasting feature performance docked case display stand making particularly suitable candidate demanding business user,5,28,2
pretty good received laptop skepticism issue laptop dell say price decent laptop beat macbook pro decent laptop,2,17,2
outstanding laptop good price laptop outstanding piece art compared brand sturdy reliable travel home office everything need get job done,13,20,2
masterpiece light material used nice,7,5,2
awesome laptop highly recommend great laptop light responsive upgraded gb ram tb nvme,11,13,2
na smooth practical,0,3,1
lap top super fast light laptop,5,6,2
nice battery life small light laptop dr happy new laptop battery life ease transport lightweight laptop,8,16,2
dell latitude gtco btx version gtco version latitude excellent light responsive keyboard necessary chip plug option turn automatically opened using facial recognition ready use short amount time btx version latitude returned dell come requested required option,5,36,2
laptop use x laptop throughout office issue seem cleared latest model,1,11,2
say fast gb ram work well zero issue connecting everything,0,10,1
best business class laptop feather better performance,3,7,2
outstanding laptop far far laptop working great comparable surface device lightweight screen look great keyboard extremely nice easy type trackpad feel amazing great battery life complaint far even though still early tell,22,32,2
solid chassis well constructed nice solid chassis would definitley purchase negative one presence detection investigate option,5,16,2
good item new color sold quality although seems bit smaller,3,10,2
dell solid unit whats asked,2,5,2
another great dell product great product recommend dell enough business product part amazing system dell user last year,12,18,2
power speed small package really amazed home much speed size functionality laptop squeeze small lightweight package first picked concerned due light figured scrimped something wrong screen bright fast processor speed bootup solid state drive fantastic keyboard feedback excellent complaint simply large size mouse pad used yet keep touching wrong time type fade get used great laptop,11,56,2
look review great laptop fast sometimes slow start,3,8,2
great investigation great product job hand,6,6,2
excellent base platform use standard user platform provides enough power diverse workload,3,12,2
procurement manager great laptop love keyboard,6,6,2
great device great device gb ram make big difference love n option screen amazing,14,14,2
great working computer laptop work great fast give multiple option security protect unauthorized access,7,14,2
amazing amazing mostly mac user laptop check box loving speed size everything want laptop screen beautiful layout nice decent weight,18,20,2
good performance compatible work good performance compatible work,6,8,2
latitude love new computer fast,3,5,2
great laptop performance laptop great,6,5,2
year dell laptop still best screen clarity excellent sound excellent overall quality build excellent,14,14,2
great working good value money,6,5,2
working good fast deliver good condition,6,6,2
awesome laptop work personal use got laptop month ago really like laptop performance,6,13,2
love computer easy set light weight durable,4,7,2
great work laptop fast efficient laptop business,3,7,2
nice mid range business laptop small sturdy laptop working well bought multiple department handle finance program well,3,17,2
new company standard new standard laptop user higher quality chassis incredibly light durable great look awesome screen great spec price got hand user incredibly happy device compared brand using,13,29,2
best price model seem last well built,3,7,2
great business laptop lightning fast easy get set,4,8,2
earl pedersen financial advisor securian financial delivery day earlier estimate,0,10,1
excellent laptop exceptional battery life laptop came core processor power core efficiency core gb ram gb nvme drive screen non touch easy read bright comfortable size set scale accommodate old eye keyboard touch pad work feel great set system log facial recognition fingerprint facial recognition work surprisingly well low light time work outside sun shining camera speaking camera video audio microphone worked well remote meeting useful set port two usb c two usb one hdmi one old style headphone jack usb c port capable powering computer connected three monitor laptop time handled nicely two connected docking station one laptop usb c port third monitor connected directly port tested gaming video adapter purely intel tried playing man sky playable great experience recommend laptop gaming though designed marketed fair made drive image backup installed debian ubuntu system worked well laptop exception built web cam seems lack linux driver time drive speed test resulted around mb sec read speed wow fastest nvme drive ever used thoroughly impressed battery life machine impressive hard give single answer many hour expect depends load varies hour hour depending confident would make entire work day normal use give high mark battery life would definitely recommend computer anything except gaming definitely consider future business purchase,31,206,2
great workhorse fantastic responsive light,9,5,2
great system nice hardware laptop powerful great hardware small sleek profile still issue trackpad window issue dell glad see previous conserns address model,14,23,2
excellent laptop love size speed laptop run program easily screen easy eye,7,12,2
dell laptop lawyer super quick piece kit capacity add big dell monitor using power dock lawyer work office court home little system adapts environment work especially use virtual desktop connection fast like pack huge punch inch profile laptop understands need lawyer,7,41,2
incredible laptop use laptop work good get one,3,8,2
great product latitude give sale team everything need compact touch screen long battery life great performance th generation latitude laptop dell continues improve product please maintain standard improvement keep latitude brand trust,12,32,2
great device great price great computer super quick next generation intel processor,12,12,2
laptop beast laptop beast everything gamer want need,1,8,2
great laptop xcto light weight fast screen look great love light keyboard fingerprint reader sound excellent trackpad large responsive accidently rest hand go crazy get crazy hot charging using comfortable use lap flip tablet mode without disconnect keyboard convenient worry misplacing keyboard still access port strong magnet side hold pen laptop used feature weak magnet made losing pen real possibility styling generic dell actually ok make le flashy le prone theft overall great laptop good price would buy,15,78,2
well designed powerful compact laptop laptop terrific dell really stepped continues impress thin form factor incredibly lightweight deceived small size pack punch processor super fast snappy port need business battery last last screen clarity camera quality make working breeze key comfortable feel nice type touchpad large useful love power button towards top right color beautiful deep blue look sharp,26,59,2
college student review laptop nice perfect weight dimension making great laptop carry around keyboard nice key smooth type thing found difficult figuring put shortcut apps computer onto desktop might feature window,11,31,2
excellent laptop fine laptop accommodates need,5,6,2
dell like like find screen keyboard excellent efficient ui keyboard allows user type best speed o intuitive great workhorse keeping increasing demand le time,14,24,2
best dell laptop sleek laptop smooth keypad love extra port,6,10,2
star dell amazing computer high quality component run optimal speed ensures tool need productive role personal computer mac make reconsider brand next personal device purchase,5,25,2
light laptop plenty performance light powerful laptop laptop packed plenty power gb ram really power core weighs much tablet getting really good performance system end user workstation user extremely happy new laptop,8,32,2
latitude well worth investment new chipset reliability latitude series hand best laptop market,5,13,2
new instructor laptop nice unit smaller expected,3,7,2
latitude suitable sale marketing executive complete high specification good graphic chipset good presentation,6,13,2
look good built well fast look great built well performs fast job well done,6,14,2
working spreadsheet get one great build quality amazing performance ideal user require little bit additional power day day use,7,19,2
dell latitude solid system recently purchased dell latitude laptop use university must say thoroughly impressed performance feature review dell latitude laptop design dell latitude laptop sleek professional design lightweight portable making easy carry around meeting travel build quality sturdy keyboard comfortable type long period display laptop feature vibrant sharp display color accurate viewing angle excellent making pleasure work screen size perfect multitasking viewing document spreadsheet performance dell latitude laptop powerhouse come performance equipped powerful intel core processor ample ram allowing smooth multitasking fast response time whether working multiple application running resource intensive software laptop handle ease battery life battery life dell latitude laptop impressive last hour single charge allowing work without constantly search power outlet especially useful go attending meeting connectivity laptop offer wide range connectivity option including multiple usb port hdmi sd card reader allows connect various device peripheral without hassle wi fi connectivity also strong reliable security dell latitude laptop prioritizes security feature fingerprint scanner tpm chip give peace mind knowing data protected secure software laptop come latest version window user friendly easy navigate additionally dell provides useful software utility optimize performance manage system setting customer support dell provides excellent customer support whenever query issue support team prompt helpful resolving overall dell latitude laptop fantastic choice business professional offer perfect balance performance portability security highly recommend anyone need reliable efficient laptop work,66,224,2
latitude great small form rugged laptop,3,6,2
lightweight fast perfect loving new laptop speed lightweight ease use perfect,11,11,2
happy latitude owner rock solid hardware beautiful display,8,8,2
great laptop upgrade laptop performing great love new color new premium feel love venting location additional screen resolution great add increase productivity,16,22,2
great performance one really delivers pleanty ram processor speed,3,9,2
lightweight compact yet powerful never fan dell product past always imagined bulky heavy taste back quite pleased laptop used triangle laptop quality power style weight surprised find actually solves three well played dell keep consideration update gaming rig case improved area well,10,42,2
april farrah dell best handle great laptop fast responsive complaint,5,10,2
