reviews,sentiment_value,word_count,sentiment
aluminum solid build elegant color great high re screen quick lightweight package,7,12,2
elegant beautiful display light great performance everything ask,8,8,2
executive computer become daily driver light weight able handle business need,0,11,1
latitude review latitude great laptop use everyday task feature make versatile kind task need performance good size weight make easy carry,9,21,2
get best super fast great screen working computer get best,9,10,2
great laptop great feel love aluminum casing super fast th gen processor,12,12,2
flagship done right well executed laptop model dell released clearly took best feature precision line people wanted previous latitude model put together create amazing device capable lightweight time everything company need executive end user got g th gen intel gb ram qhd matte display decent webcam powerful speaker light small form factor pick window laptop closely compare macbook pro would,14,60,2
awesome laptop easy issue full charging give long time durability,5,10,2
portable powerhouse dell latitude perfect blend performance portability modern design dell latitude impressive piece hardware truly earns star rating perfect size making incredibly portable perfect companion professional go despite size fhd th gen intel core u performance delivers top notch speed efficiency managing handle multitude task simultaneously without hiccup sleek modern design add appeal featuring clean line high quality build feel sturdy yet remains lightweight model also equipped variety input usb including usb c hdmi port audio add versatility future proof emerging technology latitude truly shine mobile agility offering excellent battery life fast wireless connectivity intel wi fi e whether business personal use laptop excellent choice seeking portable power stylish design,22,111,2
slim light powerhouse light compact powerful enough computing need without breaking back,2,12,2
great laptop light weight fast great battery life,6,8,2
highly recommend sleek nice work touch screen bother great need battery life long keyboard amazing sound well,10,17,2
best laptop previous laptop computer owned laptop perfect combination power gb memory keyboard key size feel plus touch screen equipped fingerprint reader know save least minute every day remember passkey power two external monitor using dell thunderbolt dock also charge latitude battery thru one thunderbolt connection laptop ran hour heavy use internal battery alone processing camtasia video rendering faster year old dell laptop g also gb memory one issue docking station love machine,9,73,2
great travel workstation wife needed new work system one went work great light powerful act personal workstation home easy travel laptop go,9,22,2
dir work well large keyboard including keypad financial,0,8,1
favorite latitude model date fortunate enough try new series laptop far favorite large small screen right performing daily task best enhancement besides latest processor series speaker throw sound whereas past throw downwards hearing audio newer model much better past probably buying many within near future,9,45,2
new latitude laptop light powerful screen excellent docking simple one usb c connection good go,8,15,2
solid executive class laptop nice premium laptop,5,7,2
new dell latitude laptop dell latitude laptop really nice laptop bright screen easy setup configure user happy ordering delivery much faster expected,8,22,2
big power big screen premium product really happy move aspect ratio world long time due movie really device productivity standpoint additional vertical space extremely useful,7,25,2
excellent excellent laptop lightweight powerful,8,5,2
ultralight portable laptop th gen perfect multi tasking perfect need touch screen great speaker ir cam perfect window hello,12,19,2
great model year revision thrilled change series ultralight chassis change cooling ventilation placement well addition another usb port hit client thanks,6,21,2
near perfect corporation enthusiast near perfect option corporation enthusiast pretty powerful efficient cpu paired fast ddr nvme drive touch screen extremely lightweight excellent ubuntu support,14,25,2
good light laptop good light laptop slight improvement hoping improved usb c connector bit resilient wear tear overly large usb c connector docking station,12,24,2
device tested well built performed well round good corporate device device tested well built performed well round good corporate device,6,20,2
year old daughter new laptop happy service provided dell initially wrong model sent however quickly courteously exchanged correct one money initially paid promptly refunded soon original incorrect model reached dell sydney nsw office reside long way away sydney regional qld thus turnaround time impressive daughter course extremely happy new technology first time either u ever seen used window intuitive easier navigate window predecessor laptop latest intel th gen core processor gb memory extremely fast,8,74,2
great performance jump great laptop chance add better performance cpu p recommend also add new mp camera nit screen perfect combo,13,21,2
program manager employee satisfied laptop,0,5,1
exceptional performance build quality price exceptional performance build quality price,0,10,1
great laptop dell user year latitude range never disappoints beautiful design super fast secure love extra security feature dell optimiser,12,20,2
robust robust laptop quick battery last long time,4,8,2
dell latitude xcto excellent unit really enjoying performance display thermal control low heat battery life good trackpad nice feel well overall pleased unit make one small nitpick would mention keyboard feel bit lower quality rest outstanding ultralight hardware build still excellent system overall,22,43,2
perfect business laptop smooth large touchpad comfortable keyboard lot port option connectivity without needing carry extra dongle,5,17,2
great device great device fast worth money,8,7,2
impressive impressive nice configuration option speed power durability built laptop,9,10,2
great business laptop improvement cooling speaker configuration,6,7,2
great new product received dell problem le powerful unit great far responsive sems resolved issue tech head sell customer great really know people choose dell reliable well built company back product got love,16,33,2
dell latitude rating issue dell latitude thus far able put hand user standard image issue,0,15,1
great standard business nice standard machine,6,6,2
compact lightweight nice small size perfect lightweight,6,7,2
latitude review business user love feel weight laptop processor seems bit slower expected,3,13,2
nice laptop good feature used long replacing older xps far performs well additional inch screen nice power button normal keyboard field going take time become accustomed use laptop connected docking station would like usb c port side laptop left dock cable run around far side dell dock cable short troublesome le changing laptop righthand side desktop monitor speaker work pretty well like placement stereo sound effective camera pretty wide angled good image,19,72,2
clunkier model otherwise good clunkier model otherwise good,6,8,2
great machine requires much configuration excellent performance initial setup abysmal however bios screwed required siginficant configuration laptop would boot auto setup mode window default mouse setting far sensitive general default configuration setting way conservative thus far much time spent getting laptop real world usable configuration,6,45,2
nice blue nice weight new blue color look nice ultralight model offer noticeable weight reduction lot,9,16,2
sleek powerful product sleek great performance convenient day day work style,5,11,2
highly recommend laptop work great needed solid laptop field g ticked every box also purchased dock work great well,10,19,2
far good far great result laptop seems dell ironed ssd driver issue past couple generation,6,15,2
bluetooth bluetooth sometimes work connect device audio love,3,8,2
mouse power button speed memory power excellent mouse sensitivity fast function slow work also power button next delete button ridiculous,0,20,1
latitude good laptop battery last long good travel,6,8,2
good product executive people review detail follows rating design hardware port display performance battery webcam audio overall product good rating price value,6,22,2
window p tough network start window p,0,7,1
big step major change design material,1,6,2
latitude laptop review sleek design enhanced webcam hopefully processor ram ensure smooth multitasking,3,13,2
okay product okay first week open excel hang hang slow respond main reason directly ftom dell site quality product think wrong choice,-2,22,0
latitude laptop fit client need perfectly,4,6,2
latitude weight feature device pleasant align modern spec pc camera quality nice include ir compatibility window hello still feel like laptop camera instead true webcam low light performance still limited would nice see k upgrade weight laptop make extremely portable however plastic material make also feel flimsy carrying loftily desk couch would risk breaking fully supported hand gripped spine instead edge screen look good seem contribute much eye fatigue keyboard trackpad seem appropriately responsive boot time quick expected performing standard productivity workflow like web browsing document editing video conferencing smooth without noticable interference hardware available security feature enterprise level management seem broad although fully explored yet altogether nice daily driver fit variety standard workload workflow,19,115,2
great performance design great performance design,6,6,2
decent device well built powerful review laptop version decent laptop largest screen size lack size pack power functionality backlit keyboard nice responsive ir webcam quick pick facial recognition really well obviously window hello ready laptop also fingerprint recognition capability tested screen good look like sort anti reflective film drastically reduces glare really usable sunny bright light area speaker fantastic great sound positioned either side get sense surround sound expect still speaker built laptop little depth could easily without headphone listening music watching video content weight fine thinnest laptop mean get usb c port get hdmi standard usb port great carry around portable docking station extra port one thing like much think built design open lid fold back beyond upright degree bottom lid push flat surface give little lift keyboard nice touch like elevation keyboard downside edge monitor scrap surface rotate screen therefore could damage edge surface flat smooth clean also took opportunity play game well see well faired without dedicated gpu played fornite little stuttery setting near high quality reduced mid level visual quality playable advocating laptop anyway gaming laptop purely demostrating capability laptop,32,184,2
dell latitude xcto review computer received good order work fine setting,5,11,2
latitude impressive impressive laptop fairly thin lightweight capable machine workhorse laptop intend use majority business need outside engineering,7,18,2
great improvement older model sleek look fast performance touch pad great good screen whole happy experience,14,16,2
excellent product great product work well bit heavy carry around,6,10,2
dell review overall really like laptop happy went dell v mac time wish offered touchscreen price paid also lag multitasking,4,20,2
good business laptop familiarity previous model nice lighter laptop info new feature sure look upgrade outside usual battery speed seems smooth transition one familiar modern,6,25,2
great fit work exactly expected,4,5,2
great laptop questionable touch pad great laptop recently added second usb connector massive improvement one ridiculous issue reason track pad button appear work time like sufficient make think good enough use bad enough incredibly annoying reasonably light reasonably small powerful enough vast majority user use bluetooth mouse button issue becomes nothing burger,5,52,2
perfect business category good performance little bit design disappointed,4,9,2
speedy performance machine could use bigger screen better speaker laptop built well sturdy lightweight easy carry around key relatively quiet performance speedy delay throughout day camera date crystal clear sound level speaker could higher still decent laptop screen size bit tiny side work well look good,5,46,2
great business laptop device work great reason give star weight,6,10,2
punch small compact throw good punch,3,6,2
look like corporate drone get job done perfectly fine exciting everything functional average surprisingly heavily,10,15,2
great professional laptop great professional laptop thing thin light weight also get hot,6,13,2
perfect lightweight laptop really nice lightweight laptop capable gb internal memory business user running bloomberg multiple excel sheet ease,9,19,2
computer engineering school hope computer need aerospace engineering look promise,3,10,2
good small light powerful,5,4,2
slim sleek look sleek however used yet,0,7,1
quality build dell migrate tool great found built quality good used dell migrate tool went well,6,16,2
easy order setup easy order process easy setup glad running fo,6,11,2
sleek lightweight powerhouse nice little computer came loaded microsoft office suite set nice still need transfer various software sleek lightweight like backlit key,8,23,2
dfbdfd po process made easier,1,5,2
one best work computer made dell power efficient processor make hardware even better nice laptop good weight sturdiness keyboard touchpad best dell made yet wish affordable option higher resolution screen sure come price good get battery life pretty great user get hour without charging new device obviously get shorter time good starting point lot made possible newer generation intel processor finally finally getting point causing heat issue fan running constantly intel continues processor follow le power hungry model improve,28,79,2
latitude purchased dell latitude week ago looking many laptop decided purchased online simplicity delivered within day stated easy setup straight box taken little get use new window layout great little pc solid fast everything want travel laptop good build quality small enough fit backpack powerful enough workshop presentation spreadsheet stream movie sure network connection built could plug accessory far problem got everything copied across looked back biggest problem update accessory match new pc early day feeling confident came year warranty,13,80,2
good lightweight business grade laptop let included dell business software laptop build solid thermal heat management pretty good also reason give star rating software component need improvement specifically dell optimiser application come laptop tried using week quite buggy regard auto monitoring quality video audio conferencing call looker detection functionality need improvement disabled functionality,13,53,2
lightweight portable necessary port usb c port need receded bevel keep moving becoming wobbly main point failure using docking station lightweight low heat generated impressive usb c port need receded bevel keep moving becoming wobbly main point failure using docking station,-1,41,0
great business machine larger trackpad take getting used coming unit fast great upgrade,6,13,2
dell review company considering switching dell laptop different brand far impressed build quality overall feature laptop far biggest complaint separation lack separation backspace enter key wide angle view integrated camera minor thing user sharing feedback say great machine,5,38,2
dell latituded xcto nice size great screen quality login proctections good downside privacy screen easy way print screen,8,18,2
ergonomic review usb c port hdmi port left side laptop convenient,-1,11,0
dell v mac nice beefy machine comparable macbook,3,8,2
good product step backwards feel functionality speed excellent negative device longer premium feel without carbon fiber feel like plastic product get,6,21,2
latitude another dell success story thus far nicely designed frame sleek solid contemporary high contrast screen make interaction breeze even hour continual use solid touch response keyboard processing power thus far substantial good performance rating across number benchmark apps typical complete suite supportive tool feature promise provide reduced start time increase battery life help prioritize functionality oft used apps security feature well designed typical office environment ability grey screen system notice someone looking shoulder evaluation continues notable deficiency found thus far appears another quality dell product thus far,17,88,2
durable much better xxx series aluminum shell seems durable many scratched laptop xx xx series reuse hoping case longer lasting green initiative,2,22,2
surprise good way everything needed,3,5,2
laptop review super laptop fast bit trouble camera causing window crash newest bios camera software fixed problem,-3,17,0
fast lightweight fast lightweight run cool,1,6,2
great machine battery life device awesome worry plugging every couple hour using dell pen great taking note negative little heavy carry around work ish minute,5,25,2
high performing light weight system dell latitude tremendously responsive delivering great performance light weight package,5,15,2
nice nice negative crap ware come pre installed dell always need option get clean machine least didnt norton,3,18,2
great laptop great laptop use work home screen size perfect love flexibility move around house without dropping wifi minor issue month would blue screen every often every couple week seems resolved applying update get lot use laptop would recommend,15,39,2
fast light quick laptop fast light feel durable like older model case better though,2,14,2
good last dell purchase le happy individual bought frustartions tech support,8,11,2
user friendly user friendly love,7,5,2
need memory function like workstation pc came gb memory honest quickly cause lag box lot open tab internet lot closing apps tab work,3,23,2
work happy latitude also doking station thunder bolt work laptop,3,10,2
great laptop great choice laptop upgrade office work,6,8,2
want quit standby mode computer work well except want resume session stand mode need turn completely use wise easy use nice looking enjoy also window new,8,26,2
fine dependable machine,2,3,2
dell latitude xcto little flimsy le port screen crisp touch screen showing issue right box,0,15,1
potential exec laptop replacement laptop light light great portability standpoint quite long enough fully judge use case regarding battery life software loaded company say would likely wonderful laptop support personnel often travel would caution handing executive looking polished machine regard body type screen bit flex closed enough concern noteworthy,9,49,2
portable v traditional device slim portable east setup speaker microphone quality good single user good use meeting setting rear camera worked well front facing camera work,6,26,2
improvement version year ago improvement version hate mousepad button integrated single pad separate button larger mousepad make difficult type keyboard older slower cpu actually downgrade,0,25,1
laptop great ordering process went wrong purchasing process incovenient time since dell cancel original po day internal issue reorder laptop created extra work team well delayed order,-1,27,0
product came faulty display product came faulty display,0,8,1
unleashing productivity go latitude latitude proven invaluable tool daily work compact size combined lightweight design make incredibly convenient carry around meeting within office go task outside particularly impressed battery life consistently see entire workday without need recharge game changer allowing uninterrupted work session office search reliable portable work companion latitude commendable choice,4,52,2
good entertainment instead business use sound speaker side keyboard panel awesome power button fingerprint recognition sensitive button pg pg button near keep pressing wrong one button delete power button near keep pressing wrong one wi fi card faulty week receiving new laptop need replaced new one,3,46,2
experience intial use sort trouble getting software installed e g multiple instance blue screen death sorting hardward issue e g camera working microphone quality,-4,24,0
bios problem needed use external keyboard access f f,-2,9,0
nice laptop window software kept crashing software arrived defective,1,9,2
lightweight powerful play nicely multiple monitor laptop lightweight powerful play nicely dell wd dock multiple k monitor,4,17,2
evo framework purchased laptop personal use website filter identified computer evo vpro certified also called sale team numerous time also used chat function sale department verifying laptop evo evo certification important indicates better performing laptop overall computing experience disappointed found laptop evo certified returning another one using dell product decade satisfied dell would recommend dell friend family however particular situation told would get restocking fee return laptop working management hope case laptop good gb make easy work statistical software evo certified like previous latitude model would perfect business travel laptop,15,90,2
device faulty facing issue usage device faulty facing issue usage device crashing blue screen death different reason,-4,17,0
waste money worst screen quality ever laptop,-4,7,0
dell latitude laptop significant downgrade material quality compare previous version part showing design flow new please see picture use week new,2,21,2
slow waited week computer way slow,0,6,1
solid corporate device great performing device corporate usage,5,8,2
many complication received new dell came many complication still cant use software update would load program refused fully download computer needed job job dept working two week order make functional computer rely using hate put bad review truth,-8,38,0
dead arrival good luck far failing usbc port motherboards replaced,1,10,2
good device poor screen touch support device fast responsive office application solid feel however little heavier expected disappointed touch screen clamshell model provides basic touch support support active pen based high unit price poor touch screen support struggle recommend unit,10,40,2
need user manual please send user manual device need learn fully utilize feature,1,13,2
sr director business service pleased laptop meet requirement fast lightweight,1,10,2
blue screen good experience getting blue screen death since last night doesnt allow login even multiple restarts,2,17,2
yet yet shipping took forever,0,5,1
pdp error product description website bug customer end paying,-3,9,0
half stuff hasnt arrived half stuff hasnt arrived,0,8,1
first time year dispaointed dell disapointed quality new latitude laptop step backword design,0,13,1
received wrong configuration received wrong configuration laptop response mean sale representative sure get resolved,-2,14,0
horrible customer support never delivered asian order support keep saying delivered acting like understand want put ticket resolved help still unresolved many day later,8,24,2
lost transit refund day since ordered laptop dhl say find dell keep saying investigated probably using money refunded,0,18,1
log unable log department week still cannot use,0,8,1
great laptop quality control slipped ordered laptop doa upon delivery unfortunately unique last order laptop doa something seriously gone wrong quality control factory good news dell pro support fixed without issue part available took week case love laptop,9,38,2
faulty motherboard dell sent laptop faulty motherboard,0,7,1
dead arrival laptop dead arrival still waiting replacement,-6,8,0
bad quality bad quality overheating keyboard trackpad issue,-6,8,0
hassle installation win laptop come required security software required company,4,10,2
broken device laptop broken customer support helpful,4,7,2
